figure_id,series_name,point_count,x_min,x_max,y_min,y_max,y_mean,expected_table_value,mean_minus_table,absolute_percent_error
Figure 29,base_case,160,1.8633540372670807,298.1366459627329,1058335.1540310248,1058335.1540310248,1058335.1540310248,1061600,-3264.84596897522,0.3075401251860606
Figure 29,adjusted_iti_volume,161,1.8633540372670807,300.0,1064452.6982739787,1073629.0146384095,1073572.0188845932,1079000,-5427.981115406845,0.5030566372017464
Figure 30,base_case,160,1.8633540372670807,298.1366459627329,1058301.9286189314,1058301.9286189314,1058301.9286189314,1061600,-3298.0713810685556,0.3106698738760885
Figure 30,adjusted_iti_volume_lidar_height_site_index,162,0.0,300.0,1090888.9381511859,1095544.2252272225,1090917.6744911615,1095200,-4282.325508838519,0.391008538060493
Figure 31,base_case,160,1.8633540372670807,298.1366459627329,1060840.7079646017,1062389.3805309734,1062379.7013274336,1061600,779.7013274335768,0.07344586731665191
Figure 31,lidar_adjusted_yields_reduced_oaf1,161,1.8633540372670807,300.0,1146017.6991150442,1150663.7168141594,1149201.6160061562,1150300,-1098.3839938438032,0.09548674205370801
Figure 35,base_case,160,1.8633540372670807,298.1366459627329,1058387.7995642703,1058387.7995642703,1058387.7995642703,1061600,-3212.2004357296973,0.3025810508411546
Figure 35,mha_increased_by_10_years,161,1.8633540372670807,300.0,953159.0413943355,954684.0958605664,953168.5137823244,956000,-2831.486217675614,0.2961805667024701
Figure 36,base_case,160,1.8633540372670807,298.1366459627329,1058335.1540310248,1058335.1540310248,1058335.1540310248,1061600,-3264.84596897522,0.3075401251860606
Figure 36,mha_decreased_by_10_years,161,1.8633540372670807,300.0,1062923.3122132402,1070570.2425169323,1070522.7460554186,1074300,-3777.2539445813745,0.35160140971622217
Figure 39,base_case,160,1.8633540372670807,298.1366459627329,1058387.7995642703,1058387.7995642703,1058387.7995642703,1061600,-3212.2004357296973,0.3025810508411546
Figure 39,thlb_decreased_by_10_percent,161,1.8633540372670807,300.0,950108.9324618736,951633.9869281047,951624.5145401157,953500,-1875.4854598842794,0.19669485683107285
