field,value,count
slope_stability_class_txt,Stable: low landslide potential,96
slope_stability_class_txt,Stable: negligible landslide potential,82
slope_stability_class_txt,NULL,55
slope_stability_class_txt,Potentially unstable,36
slope_stability_class_txt,Unstable,5
slope_stability_class_w_roads,III,96
slope_stability_class_w_roads,I,82
slope_stability_class_w_roads,NULL,55
slope_stability_class_w_roads,P,31
slope_stability_class_w_roads,IV,5
slope_stability_class_w_roads,V,5
polygon_stability_class_type,D,188
polygon_stability_class_type,NULL,55
polygon_stability_class_type,R,31
project_name,NorthIsland Terrain,188
project_name,Fpc 21 Campbell River FD,48
project_name,Fpc 22 Campbell River FD,22
project_name,Fpc 19 Campbell River FD,16
