scenario_id,source_feature_count,source_overlay_area_ha,deduction_ha,delta_to_mp11_ha,abs_delta_to_mp11_ha,delta_to_mp11_pct,retained_fragment_count,deducted_fragment_count
roads_p_iv_v_u,41,36.97710713583266,2.1590397000705437,-1990.8409602999295,1990.8409602999295,-99.89166885599245,43529,16
roads_p_v_u,36,36.478778950929815,2.1590397000705437,-1990.8409602999295,1990.8409602999295,-99.89166885599245,43529,16
text_unstable_or_potentially,41,36.97710713583266,2.1590397000705437,-1990.8409602999295,1990.8409602999295,-99.89166885599245,43529,16
roads_iv_v_u,10,3.410014284935146,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
roads_v,5,2.911686100032307,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
roads_v_or_u,5,2.911686100032307,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
text_unstable,5,2.911686100032307,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
text_unstable_or_roads_v,5,2.911686100032307,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
text_unstable_or_roads_v_u,5,2.911686100032307,1.4246179140296769,-1991.5753820859704,1991.5753820859704,-99.92851892052035,43531,10
roads_p,31,33.5670928508975,0.7344217860408672,-1992.265578213959,1992.265578213959,-99.9631499354721,43528,6
text_potentially_unstable,36,34.06542103580034,0.7344217860408672,-1992.265578213959,1992.265578213959,-99.9631499354721,43528,6
roads_u,0,0.0,0.0,-1993.0,1993.0,-100.0,43530,0
