metric,value
generated_at_utc,2026-06-29T04:32:04+00:00
runtime_package_status,candidate_runtime_package_assembled_pending_launch_smoke
model_root,models/tfl6_patchworks_model_mp11_candidate
runtime_config,config/patchworks.runtime.mp11_candidate.windows.yaml
tracked_package_file_count,6
track_file_count,13
block_file_count,6
block_rows,24879
block_area_ha,191168.566447
block_crs,EPSG:3005
block_geometry_valid,True
topology_rows,170759
tracks_qa_status,matrix_builder_tracks_generated_inspection_pass
tracks_features_rows,86574
tracks_accounts_rows,823
tracks_products_rows,26085
tracks_messages_rows,0
direct_launch_smoke,not_performed
scenario_smoke,not_performed
release_qa,not_performed
